	symbol	returns
41	INFN	[-0.04317548052800884, -0.0906249867286535, 0.03829163922570634, -0.04103963286539148, 0.23497264342294027, 0.3260339737762775, -0.046343955458007735, -0.02792145352982772, 0.2502234401905985, 0.05975521261272358, -0.064987450414942, -0.20511140678208667, -0.2787540413090261, -0.18729095016501515, -0.14555254886809657, 0.10821254534099246, -0.25373136577796335, -0.18439715552545483, 0.2240085926772122, -0.204958712208686, -0.31333335240681964, -0.10212766777719001, -0.160984914335937, -0.3714859232022162, 0.45333328247070315, 0.20394733333521559, 0.3383332888285319, -0.07815628945373762]
42	JKS	[0.7837643525585944, 0.07824424341087506, -0.00950002670288086, -0.05722455388096343, -0.3247463438577234, 0.1343848018613797]
43	TNP	[-0.4161849233014288, 0.11270485676222496, -0.047337325410124614, 0.36381706707240485, 0.14308427676083682, -0.12683575945200778, 0.2546916365703162, 0.05654449749403354]
44	ABR	[0.08293460646066439, -0.6384106026349957]
45	GPRO	[-0.2538004047285353, 0.365486916594198, 0.36323995757790717, 0.25494941456227566, -0.013406327355485565, 0.21592014219054342, -0.4129525242649994, -0.5555555384921392, 0.003525232921777864, 0.1990291734073928, -0.027411212924581114, -0.027411212924581114, -0.04858304558206034, -0.1710665593153686, -0.27312136497804756]
46	IMGN	[-0.09924238521752769, 0.3770491376120087, 0.6670391501962492, -0.029792749394333407, -0.1073738579117802, 0.1277371910271429, -0.2606060325825725]
47	RLGY	[-0.14167428085409356, 0.12337211913882491, -0.0058109143464454395, -0.01709899904677548, -0.02943970562467992, -0.12655666231569465, -0.1722150832325066, 0.05343222953407897, 0.06934195124278002, -0.42325951235404313, -0.37010156216423723, 0.04565218315232698]
48	TGI	[-0.07393788134273863, -0.1254579925930774, 0.03333327705380021, -0.04558158081446137, -0.03518576062301535, -0.06596345397533551, -0.025529314337488045, -0.22498778468388791, 0.21246649196273715, 0.460526331199724, 0.7645722481929821, 0.25263783752720853, 0.05773465998716386]
49	CADE	[-0.041666666666666664, -0.17324262253958506]
50	DHC	[-0.2500005565460839, 0.09529976529498413, 0.050191431177074045, 0.002603373921332285, -0.06666666666666667, -0.6823821576300508]
51	PUMP	[0.44354296393079923, 0.48143237835624747, 0.15042374358201907, -0.6858813778960288]
